OTU	Size	Taxonomy
Otu0071	553	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Hyponectriaceae(100);g__Physalospora(100);s__Physalospora_scirpi(100);Physalospora_scirpi(100);
Otu0072	528	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Setomelanomma(100);s__Setomelanomma_holmii(100);Setomelanomma_holmii(100);
Otu0073	506	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(95);o__Helotiales_unclassified(95);o__Helotiales_unclassified(95);o__Helotiales_unclassified(95);o__Helotiales_unclassified(95);
Otu0074	502	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(98);g__Bullera(98);s__Bullera_alba(98);Bullera_alba(98);
Otu0075	493	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Botryosphaeriales(60);f__unclassified_Botryosphaeriales(60);g__unclassified_Botryosphaeriales(60);s__Botryosphaeriales_sp(60);Botryosphaeriales(60);
Otu0076	465	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);c__Dothideomycetes_unclassified(74);c__Dothideomycetes_unclassified(74);c__Dothideomycetes_unclassified(74);c__Dothideomycetes_unclassified(74);c__Dothideomycetes_unclassified(74);
Otu0077	463	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Capnodiales_fam_Incertae_sedis(100);g__Phaeotheca(100);s__Phaeotheca_shathenatiana(100);Phaeotheca_shathenatiana(100);
Otu0078	451	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__unclassified_Chaetothyriales(76);g__unclassified_Chaetothyriales(76);s__Chaetothyriales_sp(76);Chaetothyriales(76);
Otu0079	446	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Umbilicariales(100);f__Fuscideaceae(100);g__Fuscidea(100);s__Fuscidea_pusilla(100);Fuscidea_pusilla(100);
Otu0080	436	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleomassariaceae(100);g__Prosthemium(100);g__Prosthemium_unclassified(95);g__Prosthemium_unclassified(95);
Otu0081	426	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Hymenochaetales(100);f__Hymenochaetales_fam_Incertae_sedis(100);g__Resinicium(100);s__Resinicium_bicolor(100);Resinicium_bicolor(100);
Otu0082	421	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_fam_Incertae_sedis(100);g__Roesleria(100);s__Roesleria_subterranea(100);Roesleria_subterranea(100);
