OTU	Size	Taxonomy
Otu0127	204	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu0128	203	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(80);
Otu0129	201	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0130	198	Bacteria(100);Acidobacteriota(100);Acidobacteriae(100);Bryobacterales(100);Bryobacteraceae(100);Bryobacter(100);
Otu0131	197	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(99);Acetobacteraceae(99);Acetobacteraceae_unclassified(99);
Otu0132	194	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(99);
Otu0133	193	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(99);Bacteroidia_unclassified(99);Bacteroidia_unclassified(99);
Otu0134	190	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Caulobacteraceae_unclassified(53);
Otu0135	188	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Methylobacterium-Methylorubrum(95);
Otu0136	183	Bacteria(100);Acidobacteriota(100);Acidobacteriae(100);Acidobacteriales(100);Acidobacteriaceae_(Subgroup_1)(100);Acidobacteriaceae_(Subgroup_1)_unclassified(97);
Otu0137	177	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Beijerinckiaceae_unclassified(86);
Otu0138	177	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0139	176	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(88);
Otu0140	176	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Xanthomonadaceae_unclassified(63);
Otu0141	174	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(58);Alcaligenaceae_unclassified(58);
Otu0142	168	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(62);Pseudomonadaceae(62);Pseudomonas(62);
Otu0143	166	Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu0144	165	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu0145	157	Bacteria(100);Proteobacteria(98);Proteobacteria_unclassified(98);Proteobacteria_unclassified(98);Proteobacteria_unclassified(98);Proteobacteria_unclassified(98);
Otu0146	151	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
